URI,count
http://rdf.disgenet.org,43054002
http://rdf.disgenet.org/download/,9
http://rdf.disgenet.org/download/v3.0.0/,9
http://rdf.disgenet.org/download/v4.0.0/,12
http://rdf.disgenet.org/gene-disease-association.ttl#,27198754
http://rdf.disgenet.org/nanopublications.trig#,22560816
http://rdf.disgenet.org/pantherClass.ttl#,310
http://rdf.disgenet.org/resource/disease.pleiotropy/,102030
http://rdf.disgenet.org/resource/disease.specificity/,101352
http://rdf.disgenet.org/resource/gda/,93874238
http://rdf.disgenet.org/resource/nanopub/,58407298
http://rdf.disgenet.org/resource/panther.classification/,548
http://rdf.disgenet.org/v2.1.0/,16
http://rdf.disgenet.org/v2.1.0/void.ttl#,4701094
http://rdf.disgenet.org/v3.0.0/void/,5095590
http://rdf.disgenet.org/v4.0.0/void/,7076579
http://rdf.disgenet.org/void/,27
http://rdf.imim.es/disgenet-gene-disease-association.ttl#,676249
http://rdf.imim.es/disgenet-void.ttl#,141548
http://www.disgenet.org/,27
http://www.disgenet.org/ds/DisGeNET/files/,23
http://www.disgenet.org/ds/DisGeNET/files/GeneDiseaseAssociation.owl#,97
http://www.disgenet.org/ds/DisGeNET/html/images/,42
http://www.disgenet.org/ds/DisGeNET/results/,10
http://www.disgenet.org/web/DisGeNET/menu/,6
http://www.disgenet.org/web/DisGeNET/menu/dbinfo#,2